kauza	datum	medium	titulek	strana	rubrika	autor	delka
capihnizdo	11.03.2016	Hospodářské noviny	JEDINÁ PRAVDA O ČAPÍM HNÍZDĚ	22	barvy moci jindřicha šídla		6245
capihnizdo	11.03.2016	Hospodářské noviny	JEDINÁ PRAVDA O ČAPÍM HNÍZDĚ	22	barvy moci jindřicha šídla		6249
capihnizdo	11.03.2016	Právo	Chyba byla hned napravena, vysvětlují odpuštění 99 procent penále pro Čapí hnízdo	02	Zpravodajství	Jakub Troníček	3323
capihnizdo	11.03.2016	Mladá fronta DNES	Spletité politické plány a přízemně fádní lidský faktor	11	Rozhovor	Glosa	2301
capihnizdo	11.03.2016	Hospodářské noviny	Krátce	09	Názory		211
capihnizdo	10.03.2016	Lidové noviny	Čapí hnízdo	03	Domov	čtk	2021
capihnizdo	10.03.2016	Hospodářské noviny	Krátce	05	Události		181
capihnizdo	10.03.2016	Právo	Auditoři konferenčního centra Čapí hnízdo zpochybnili jeho pozitivní vliv na životní prostředí	01	Titulní strana	Jakub Troníček	7617
capihnizdo	10.03.2016	Právo	Koalici nechává kauza v klidu, opozici rozžhavila doběla	02		Karolina Brožová Barbora Zpěváčková	2725
capihnizdo	10.03.2016	Mladá fronta DNES	Babišovo Čapí hnízdo dostalo pokutu za dotaci	03	Z domova	(ČTK)	731
capihnizdo	07.03.2016	Hospodářské noviny	BABIŠOVO TICHO MUSÍ SKONČIT	08	Názory	Petr Honzejk	4637
capihnizdo	07.03.2016	Právo	Tandem	06	Publicistika	Josef Koukal	2262
capihnizdo	05.03.2016	Právo	Chovanec: Podnikatelský doping v politice musí skončit	03	Zpravodajství	Karolina Brožová	5962
capihnizdo	05.03.2016	Právo	Babiš hrozí: Než se hádat v koalici, to radši volby už v červnu 2017	01	Titulní strana	Jan Rovenský	14939
capihnizdo	05.03.2016	Lidové noviny	Jsem chyba v systému. Z vlády ale neodejdu	04	Rozhovor		23798
capihnizdo	04.03.2016	Hospodářské noviny	Evropa vyšetřuje, zda Babiš podváděl. Kauza Čapí hnízdo ho může dostihnout před volbami	07	Události	Lucie Stuchlíková, Radek Bartoníček	4033
capihnizdo	04.03.2016	Hospodářské noviny	Dvojitá loajalita Andreje Babiše	08	Názory	Petr Honzejk	2701
capihnizdo	04.03.2016	Mladá fronta DNES	Kam se ve vládní krizi přikloní klidná síla?	11	Názory		2572
capihnizdo	04.03.2016	Mladá fronta DNES	Dám dalších padesát milionů korun na charitu	11	Názory	— Andrej Babiš	1480
capihnizdo	04.03.2016	Právo	Sobotka zaútočil na Babišovu trojí moc. Ale nejmenoval ho	04	Zpravodajství	Naďa Adamičková Marie Königová	2875
capihnizdo	03.03.2016	Mladá fronta DNES	Problém politika Babiše	11	Názory	Zuzana Kubátová	3084
capihnizdo	03.03.2016	Mladá fronta DNES	Čapí stíny	02	Z domova	Adéla Paclíková	6436
capihnizdo	03.03.2016	Právo	FOTO	05	Zpravodajství	(ČTK)	527
capihnizdo	11.02.2016	Právo	Bruselští hlídači dotací šetří dva projekty vnitra z dob Ivana Langra	04	Zpravodajství	Jakub Troníček	3430
capihnizdo	06.02.2016	Právo	Kalousek: Nejsme žádní sluníčkáři, ale strach a paniku šířit nebudeme	01	Titulní strana	Oldřich Danda	13924
capihnizdo	30.01.2016	Právo	Vlivná šéfka pražských žalobců končí	09	Zpravodajství	Radim Vaculík	3345
